city,code
Abadan,ABD
Aghajari,AKW
Abu Musa,AEU
Araak,AJK
Ardabil,ADU
Urmieh,OMH
Isfahan,IFN
Omidieh,OMI
Ahwaz,AWZ
Iran Shahr,IHR
Ilaam,IIL
Babolsar,BBL
Bojnord,BJB
Bam,BXR
Bandar Abbas,BND
Bandar Lengeh,BDH
Mahshahr,MRX
Bahregan,IAQ
Bushehr,BUZ
Birjand,XBJ
Bishe-kola,BSM
Parsabad,PFQ
Tabriz,TBZ
Tabas,TCX
Imam Khomeini Airport,IKA
Mehrabad (Qualeh Morgeh),THR
Tohid,TEW
Khark Island,KHK
Sirri Island,SXI
Kish Island,KIH
Jiroft,JYR
Chah- Bahar,ZBR
Khaneh,KHA
Khorramabad,KHD
Khoy,KHY
Dezful,DEF
Ramsar,RZR
Rasht,RAS
Rafsanjan,RJN
Zabol A/P,ACZ
Zahedan,ZAH
Zanjan,JWN
Dashte Naz,SRY
Sabzevar,AFZ
Sarakhs,CKT
Sanandaj,SDG
Sahand,ACP
Sirjan,SYJ
Shahre-kord,CQD
Shahid Dastghaib International,SYZ
Persian Gulf International,PGU
Fasa,FAZ
Ghazvin,GZW
Gheshm,GSM
Gachsaran,GCH
Gorgan,GBT
Lar A/P,LRR
Lamerd,LFM
Lavan,LVP
Mashhad,MHD
Nojeh,NUJ
Now Shahr,NSH
Hesa,IFH
Hamadan,HDM
Havadarya,HDR
Jam,KNR
Kerman,KER
Kermanshah,KSH
Kalaleh,KLM
Yasouj,YES
Yazd,AZD
Tehran,THR
Shiraz,SYZ
